date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:17	70052/70052	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2020:19:32%20GMT	https://gamehunters-studio.com/gunsmith-simulator/	C:/Benim%20Web%20Sitem/gun/gamehunters-studio.com/gunsmith-simulator/index.html	(from )
20:20:17	67/67	---MC-	200	added ('OK')	text/plain	date:Sat,%2019%20Feb%202022%2020:20:18%20GMT	https://gamehunters-studio.com/robots.txt		(from )
20:20:17	241/241	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Feb%202022%2011:42:22%20GMT	https://gamehunters-studio.com/wp-content/cache/autoptimize/css/autoptimize_single_44a8dca3fb90961f8e8ef9333cdd64ce.css?ver=6.1	C:/Benim%20Web%20Sitem/gun/gamehunters-studio.com/wp-content/cache/autoptimize/css/autoptimize_single_44a8dca3fb90961f8e8ef9333cdd64ce9b2d.css	(from https://gamehunters-studio.com/gunsmith-simulator/)
20:20:18	96873/96873	---M--	200	added ('OK')	application/javascript	date:Sun,%2029%20Dec%202019%2020:46:26%20GMT	https://gamehunters-studio.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/Benim%20Web%20Sitem/gun/gamehunters-studio.com/wp-includes/js/jquery/jquery4a5f.js	(from https://gamehunters-studio.com/gunsmith-simulator/)
20:20:18	1142003/1142003	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Feb%202022%2012:10:14%20GMT	https://gamehunters-studio.com/wp-content/cache/autoptimize/css/autoptimize_bc27b7cbdb05bb87d62506d80fc7cd20.css	C:/Benim%20Web%20Sitem/gun/gamehunters-studio.com/wp-content/cache/autoptimize/css/autoptimize_bc27b7cbdb05bb87d62506d80fc7cd20.css	(from https://gamehunters-studio.com/gunsmith-simulator/)
20:20:18	10056/10056	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2006:11:28%20GMT	https://gamehunters-studio.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Benim%20Web%20Sitem/gun/gamehunters-studio.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://gamehunters-studio.com/gunsmith-simulator/)
20:20:18	59125/59125	---M--	200	added ('OK')	application/javascript	date:Mon,%2020%20Dec%202021%2013:14:17%20GMT	https://gamehunters-studio.com/wp-content/plugins/wp-gdpr-compliance/Assets/js/front.min.js?ver=1640006057	C:/Benim%20Web%20Sitem/gun/gamehunters-studio.com/wp-content/plugins/wp-gdpr-compliance/Assets/js/front.min3f82.js	(from https://gamehunters-studio.com/gunsmith-simulator/)
20:20:19	13071/13071	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2009:31:12%20GMT	https://gamehunters-studio.com/wp-content/uploads/2020/01/cropped-game_hunters_favicon-192x192.png	C:/Benim%20Web%20Sitem/gun/gamehunters-studio.com/wp-content/uploads/2020/01/cropped-game_hunters_favicon-192x192.png	(from https://gamehunters-studio.com/gunsmith-simulator/)
20:20:19	11976/11976	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2009:31:12%20GMT	https://gamehunters-studio.com/wp-content/uploads/2020/01/cropped-game_hunters_favicon-180x180.png	C:/Benim%20Web%20Sitem/gun/gamehunters-studio.com/wp-content/uploads/2020/01/cropped-game_hunters_favicon-180x180.png	(from https://gamehunters-studio.com/gunsmith-simulator/)
20:20:19	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	C:/Benim%20Web%20Sitem/gun/ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	(from https://gamehunters-studio.com/gunsmith-simulator/)
20:20:20	5880/5880	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2009:30:05%20GMT	https://gamehunters-studio.com/wp-content/uploads/2020/01/cropped-game_hunters-logo.png	C:/Benim%20Web%20Sitem/gun/gamehunters-studio.com/wp-content/uploads/2020/01/cropped-game_hunters-logo.png	(from https://gamehunters-studio.com/gunsmith-simulator/)
